"Date","MED6"
1971-01-01,6.3
1971-02-01,6.01
1971-03-01,5.7
1971-04-01,6.34
1971-05-01,7.23
1971-06-01,7.33
1971-07-01,7.09
1971-08-01,8.13
1971-09-01,8.35
1971-10-01,6.75
1971-11-01,6.39
1971-12-01,6.38
1972-01-01,5.64
1972-02-01,5.54
1972-03-01,5.68
1972-04-01,5.85
1972-05-01,5.41
1972-06-01,5.45
1972-07-01,6.14
1972-08-01,6.08
1972-09-01,6.15
1972-10-01,6.22
1972-11-01,6.09
1972-12-01,6.22
1973-01-01,6.35
1973-02-01,7.37
1973-03-01,8.42
1973-04-01,8.32
1973-05-01,8.63
1973-06-01,8.89
1973-07-01,10.46
1973-08-01,11.47
1973-09-01,11.17
1973-10-01,9.49
1973-11-01,9.63
1973-12-01,10.37
1974-01-01,9.32
1974-02-01,8.49
1974-03-01,9.24
1974-04-01,10.49
1974-05-01,11.62
1974-06-01,12.03
1974-07-01,13.48
1974-08-01,13.64
1974-09-01,12.74
1974-10-01,10.97
1974-11-01,10.03
1974-12-01,10.28
1975-01-01,8.61
1975-02-01,7.48
1975-03-01,7.43
1975-04-01,7.91
1975-05-01,7.3
1975-06-01,6.94
1975-07-01,7.96
1975-08-01,8.19
1975-09-01,8.41
1975-10-01,7.86
1975-11-01,7.45
1975-12-01,7.3
1976-01-01,6.07
1976-02-01,6.17
1976-03-01,6.37
1976-04-01,5.99
1976-05-01,6.65
1976-06-01,6.92
1976-07-01,6.38
1976-08-01,6.18
1976-09-01,6
1976-10-01,5.79
1976-11-01,5.64
1976-12-01,5.28
1977-01-01,5.57
1977-02-01,5.56
1977-03-01,5.53
1977-04-01,5.45
1977-05-01,6.12
1977-06-01,6.13
1977-07-01,6.1
1977-08-01,6.51
1977-09-01,6.79
1977-10-01,7.44
1977-11-01,7.35
1977-12-01,7.46
1978-01-01,7.64
1978-02-01,7.64
1978-03-01,8.16
1978-04-01,7.75
1978-05-01,8.18
1978-06-01,8.78
1978-07-01,9.02
1978-08-01,8.81
1978-09-01,9.36
1978-10-01,10.43
1978-11-01,11.83
1978-12-01,12.03
1979-01-01,11.76
1979-02-01,11.06
1979-03-01,10.9
1979-04-01,10.77
1979-05-01,10.91
1979-06-01,10.52
1979-07-01,10.83
1979-08-01,11.52
1979-09-01,12.64
1979-10-01,14.49
1979-11-01,14.75
1979-12-01,14.28
1980-01-01,14.28
1980-02-01,15.38
1980-03-01,18.64
1980-04-01,17.11
1980-05-01,11.18
1980-06-01,9.47
1980-07-01,9.53
1980-08-01,11.21
1980-09-01,12.45
1980-10-01,13.52
1980-11-01,15.97
1980-12-01,17.82
1981-01-01,16.76
1981-02-01,17.02
1981-03-01,15.38
1981-04-01,15.93
1981-05-01,18.32
1981-06-01,17.03
1981-07-01,18.2
1981-08-01,18.78
1981-09-01,17.99
1981-10-01,16.61
1981-11-01,13.65
1981-12-01,13.99
1982-01-01,14.98
1982-02-01,15.8
1982-03-01,14.95
1982-04-01,15.2
1982-05-01,14.51
1982-06-01,15.59
1982-07-01,14.89
1982-08-01,12.5
1982-09-01,12.58
1982-10-01,10.66
1982-11-01,9.97
1982-12-01,9.71
1983-01-01,9.16
1983-02-01,9.4
1983-03-01,9.38
1983-04-01,9.33
1983-05-01,9.07
1983-06-01,9.92
1983-07-01,10.38
1983-08-01,10.68
1983-09-01,10.07
1983-10-01,9.66
1983-11-01,9.93
1983-12-01,10.26
1984-01-01,9.98
1984-02-01,10.09
1984-03-01,10.68
1984-04-01,11.11
1984-05-01,12.04
1984-06-01,12.31
1984-07-01,12.59
1984-08-01,12.08
1984-09-01,11.9
1984-10-01,11.06
1984-11-01,9.79
1984-12-01,9.36
1985-01-01,8.78
1985-02-01,9.45
1985-03-01,9.91
1985-04-01,9.09
1985-05-01,8.42
1985-06-01,7.83
1985-07-01,8.05
1985-08-01,8.2
1985-09-01,8.34
1985-10-01,8.19
1985-11-01,8.02
1985-12-01,7.99
1986-01-01,8.04
1986-02-01,7.9
1986-03-01,7.4
1986-04-01,6.78
1986-05-01,6.87
1986-06-01,6.96
1986-07-01,6.54
1986-08-01,6.06
1986-09-01,5.88
1986-10-01,5.87
1986-11-01,5.94
1986-12-01,6.09
1987-01-01,6.05
1987-02-01,6.31
1987-03-01,6.37
1987-04-01,6.88
1987-05-01,7.49
1987-06-01,7.35
1987-07-01,7.05
1987-08-01,7.18
1987-09-01,7.88
1987-10-01,8.39
1987-11-01,7.44
1987-12-01,7.86
1988-01-01,7.28
1988-02-01,6.8
1988-03-01,6.91
1988-04-01,7.24
1988-05-01,7.63
1988-06-01,7.77
1988-07-01,8.28
1988-08-01,8.77
1988-09-01,8.58
1988-10-01,8.54
1988-11-01,8.89
1988-12-01,9.32
1989-01-01,9.41
1989-02-01,9.78
1989-03-01,10.48
1989-04-01,10.22
1989-05-01,9.65
1989-06-01,9.15
1989-07-01,8.68
1989-08-01,8.62
1989-09-01,8.82
1989-10-01,8.51
1989-11-01,8.22
1989-12-01,8.17
1990-01-01,8.24
1990-02-01,8.3
1990-03-01,8.53
1990-04-01,8.62
1990-05-01,8.51
1990-06-01,8.29
1990-07-01,8.13
1990-08-01,8.01
1990-09-01,8.09
1990-10-01,8.05
1990-11-01,7.94
1990-12-01,7.67
1991-01-01,7.23
1991-02-01,6.58
1991-03-01,6.52
1991-04-01,6.26
1991-05-01,6.07
1991-06-01,6.3
1991-07-01,6.3
1991-08-01,5.82
1991-09-01,5.64
1991-10-01,5.33
1991-11-01,4.93
1991-12-01,4.42
1992-01-01,4.08
1992-02-01,4.15
1992-03-01,4.43
1992-04-01,4.19
1992-05-01,3.99
1992-06-01,4
1992-07-01,3.54
1992-08-01,3.43
1992-09-01,3.22
1992-10-01,3.32
1992-11-01,3.7
1992-12-01,3.6
1993-01-01,3.37
1993-02-01,3.24
1993-03-01,3.21
1993-04-01,3.21
1993-05-01,3.22
1993-06-01,3.37
1993-07-01,3.37
1993-08-01,3.34
1993-09-01,3.25
1993-10-01,3.26
1993-11-01,3.4
1993-12-01,3.37
1994-01-01,3.3
1994-02-01,3.62
1994-03-01,4.02
1994-04-01,4.37
1994-05-01,4.88
1994-06-01,4.85
1994-07-01,5.15
1994-08-01,5.16
1994-09-01,5.38
1994-10-01,5.77
1994-11-01,6.1
1994-12-01,6.77
1995-01-01,6.7
1995-02-01,6.43
1995-03-01,6.35
1995-04-01,6.28
1995-05-01,6.08
1995-06-01,5.79
1995-07-01,5.75
1995-08-01,5.82
1995-09-01,5.74
1995-10-01,5.79
1995-11-01,5.63
1995-12-01,5.5
1996-01-01,5.3
1996-02-01,5.05
1996-03-01,5.29
1996-04-01,5.43
1996-05-01,5.47
1996-06-01,5.64
1996-07-01,5.72
1996-08-01,5.58
1996-09-01,5.69
1996-10-01,5.52
1996-11-01,5.41
1996-12-01,5.46
1997-01-01,5.54
1997-02-01,5.46
1997-03-01,5.66
1997-04-01,5.89
1997-05-01,5.86
1997-06-01,5.78
1997-07-01,5.71
1997-08-01,5.7
1997-09-01,5.73
1997-10-01,5.71
1997-11-01,5.74
1997-12-01,5.79
1998-01-01,5.55
1998-02-01,5.53
1998-03-01,5.59
1998-04-01,5.62
1998-05-01,5.64
1998-06-01,5.62
1998-07-01,5.63
1998-08-01,5.57
1998-09-01,5.31
1998-10-01,4.94
1998-11-01,5.04
1998-12-01,4.99
1999-01-01,4.88
1999-02-01,4.92
1999-03-01,4.96
1999-04-01,4.94
1999-05-01,5
1999-06-01,5.27
1999-07-01,5.53
1999-08-01,5.78
1999-09-01,5.87
1999-10-01,6.02
1999-11-01,5.93
1999-12-01,6.07
2000-01-01,6.14
2000-02-01,6.26
2000-03-01,6.35
2000-04-01,6.48
2000-05-01,6.93
2000-06-01,6.9
2000-07-01,6.84
2000-08-01,6.75
2000-09-01,6.68
2000-10-01,6.64
2000-11-01,6.61
2000-12-01,6.28
2001-01-01,5.44
2001-02-01,5.11
2001-03-01,4.73
2001-04-01,4.41
2001-05-01,3.99
2001-06-01,3.73
2001-07-01,3.69
2001-08-01,3.48
2001-09-01,2.84
2001-10-01,2.26
2001-11-01,2.02
2001-12-01,1.89
2002-01-01,1.85
2002-02-01,1.94
2002-03-01,2.17
2002-04-01,2.13
2002-05-01,2.01
2002-06-01,1.93
2002-07-01,1.83
2002-08-01,1.71
2002-09-01,1.73
2002-10-01,1.69
2002-11-01,1.4
2002-12-01,1.35
2003-01-01,1.3
2003-02-01,1.26
2003-03-01,1.18
2003-04-01,1.21
2003-05-01,1.17
2003-06-01,1
2003-07-01,1.05
2003-08-01,1.12
2003-09-01,1.12
2003-10-01,1.13
2003-11-01,1.17
2003-12-01,1.16
2004-01-01,1.11
2004-02-01,1.1
2004-03-01,1.08
2004-04-01,1.19
2004-05-01,1.44
2004-06-01,1.73
2004-07-01,1.82
2004-08-01,1.87
2004-09-01,2.02
2004-10-01,2.16
2004-11-01,2.42
2004-12-01,2.64
2005-01-01,2.83
2005-02-01,2.97
2005-03-01,3.21
2005-04-01,3.32
2005-05-01,3.42
2005-06-01,3.54
2005-07-01,3.77
2005-08-01,3.96
2005-09-01,3.99
2005-10-01,4.32
2005-11-01,4.54
2005-12-01,4.65
2006-01-01,4.72
2006-02-01,4.91
2006-03-01,5.04
2006-04-01,5.19
2006-05-01,5.28
2006-06-01,5.49
2006-07-01,5.57
2006-08-01,5.46
2006-09-01,5.39
2006-10-01,5.38
2006-11-01,5.37
2006-12-01,5.33
2007-01-01,5.38
2007-02-01,5.38
2007-03-01,5.31
2007-04-01,5.34
2007-05-01,5.35
2007-06-01,5.38
2007-07-01,5.36
2007-08-01,5.41
2007-09-01,5.38
2007-10-01,5.07
2007-11-01,4.87
2007-12-01,4.94
2008-01-01,3.82
2008-02-01,3.05
2008-03-01,2.78
2008-04-01,3.04
2008-05-01,2.98
2008-06-01,3.25
2008-07-01,3.28
2008-08-01,3.38
2008-09-01,4.16
2008-10-01,5.25
2008-11-01,3.82
2008-12-01,2.97
2009-01-01,2.41
2009-02-01,2.52
2009-03-01,2.38
2009-04-01,2.24
2009-05-01,1.96
2009-06-01,1.52
2009-07-01,1.2
2009-08-01,1
2009-09-01,0.83
2009-10-01,0.8
2009-11-01,0.67
2009-12-01,0.65
2010-01-01,0.57
2010-02-01,0.45
2010-03-01,0.45
2010-04-01,0.47
2010-05-01,0.68
2010-06-01,0.75
2010-07-01,0.72
2010-08-01,0.64
2010-09-01,0.61
2010-10-01,0.6
2010-11-01,0.6
2010-12-01,0.56
2011-01-01,0.54
2011-02-01,0.56
2011-03-01,0.56
2011-04-01,0.54
2011-05-01,0.53
2011-06-01,0.52
2011-07-01,0.5
2011-08-01,0.52
2011-09-01,0.59
2011-10-01,0.68
2011-11-01,0.69
2011-12-01,0.72
2012-01-01,0.72
2012-02-01,0.68
2012-03-01,0.65
2012-04-01,0.64
2012-05-01,0.63
2012-06-01,0.63
2012-07-01,0.63
2012-08-01,0.63
2012-09-01,0.59
2012-10-01,0.57
2012-11-01,0.56
2012-12-01,0.54
2013-01-01,0.5
2013-02-01,0.46
2013-03-01,0.44
2013-04-01,0.43
2013-05-01,0.42
2013-06-01,0.42
2013-07-01,0.42
2013-08-01,0.42
2013-09-01,0.42
2013-10-01,0.42
2013-11-01,0.42
2013-12-01,0.42
2014-01-01,0.41
2014-02-01,0.41
2014-03-01,0.41
2014-04-01,0.41
2014-05-01,0.41
2014-06-01,0.37
2014-07-01,0.36
2014-08-01,0.36
2014-09-01,0.36
2014-10-01,0.36
2014-11-01,0.36
2014-12-01,0.36
2015-01-01,0.37
2015-02-01,0.37
2015-03-01,0.39
2015-04-01,0.43
2015-05-01,0.43
2015-06-01,0.44
2015-07-01,0.46
2015-08-01,0.46
2015-09-01,0.46
2015-10-01,0.46
2015-11-01,0.46
2015-12-01,0.82
2016-01-01,0.9
2016-02-01,0.9
2016-03-01,0.92
2016-04-01,0.93
2016-05-01,0.93
2016-06-01,0.94
2016-07-01,0.95
2016-08-01,1.18
2016-09-01,1.3
