"Date","TB1YS"
1959-07-01,4.34
1959-08-01,4.31
1959-09-01,4.83
1959-10-01,4.69
1959-11-01,4.54
1959-12-01,4.99
1960-01-01,4.95
1960-02-01,4.45
1960-03-01,3.68
1960-04-01,3.83
1960-05-01,4.01
1960-06-01,3.1
1960-07-01,3.03
1960-08-01,2.82
1960-09-01,2.86
1960-10-01,2.92
1960-11-01,2.87
1960-12-01,2.64
1961-01-01,2.63
1961-02-01,2.75
1961-03-01,2.76
1961-04-01,2.74
1961-05-01,2.72
1961-06-01,2.8
1961-07-01,2.79
1961-08-01,2.91
1961-09-01,2.88
1961-10-01,2.9
1961-11-01,2.9
1961-12-01,2.97
1962-01-01,3.19
1962-02-01,3.21
1962-03-01,2.98
1962-04-01,2.9
1962-05-01,2.91
1962-06-01,2.89
1962-07-01,3.17
1962-08-01,3.1
1962-09-01,2.99
1962-10-01,2.9
1962-11-01,2.94
1962-12-01,2.94
1963-01-01,3
1963-02-01,3
1963-03-01,2.97
1963-04-01,3.03
1963-05-01,3.06
1963-06-01,3.11
1963-07-01,3.4
1963-08-01,3.5
1963-09-01,3.57
1963-10-01,3.61
1963-11-01,3.67
1963-12-01,3.69
1964-01-01,3.68
1964-02-01,3.71
1964-03-01,3.78
1964-04-01,3.75
1964-05-01,3.71
1964-06-01,3.7
1964-07-01,3.64
1964-08-01,3.67
1964-09-01,3.73
1964-10-01,3.79
1964-11-01,3.86
1964-12-01,3.96
1965-01-01,3.91
1965-02-01,4
1965-03-01,4.02
1965-04-01,4
1965-05-01,3.96
1965-06-01,3.89
1965-07-01,3.89
1965-08-01,3.96
1965-09-01,4.09
1965-10-01,4.16
1965-11-01,4.23
1965-12-01,4.56
1966-01-01,4.69
1966-02-01,4.81
1966-03-01,4.81
1966-04-01,4.76
1966-05-01,4.85
1966-06-01,4.78
1966-07-01,4.94
1966-08-01,5.34
1966-09-01,5.8
1966-10-01,5.52
1966-11-01,5.49
1966-12-01,5
1967-01-01,4.61
1967-02-01,4.57
1967-03-01,4.19
1967-04-01,3.9
1967-05-01,3.89
1967-06-01,4.16
1967-07-01,4.9
1967-08-01,5.05
1967-09-01,5.1
1967-10-01,5.22
1967-11-01,5.39
1967-12-01,5.59
1968-01-01,5.3
1968-02-01,5.24
1968-03-01,5.42
1968-04-01,5.47
1968-05-01,5.84
1968-06-01,5.68
1968-07-01,5.39
1968-08-01,5.15
1968-09-01,5.18
1968-10-01,5.33
1968-11-01,5.51
1968-12-01,5.97
1969-01-01,6.07
1969-02-01,6.21
1969-03-01,6.2
1969-04-01,6.04
1969-05-01,6.11
1969-06-01,6.88
1969-07-01,7.19
1969-08-01,7.28
1969-09-01,7.35
1969-10-01,7.21
1969-11-01,7.36
1969-12-01,7.61
1970-01-01,7.51
1970-02-01,7.05
1970-03-01,6.5
1970-04-01,6.53
1970-05-01,7.12
1970-06-01,7.07
1970-07-01,6.62
1970-08-01,6.55
1970-09-01,6.39
1970-10-01,6.23
1970-11-01,5.39
1970-12-01,4.84
1971-01-01,4.4
1971-02-01,3.84
1971-03-01,3.6
1971-04-01,4.09
1971-05-01,4.64
1971-06-01,5.33
1971-07-01,5.74
1971-08-01,5.52
1971-09-01,5.19
1971-10-01,4.75
1971-11-01,4.49
1971-12-01,4.39
1972-01-01,3.82
1972-02-01,4.06
1972-03-01,4.43
1972-04-01,4.65
1972-05-01,4.46
1972-06-01,4.71
1972-07-01,4.9
1972-08-01,4.9
1972-09-01,5.44
1972-10-01,5.39
1972-11-01,5.2
1972-12-01,5.28
1973-01-01,5.58
1973-02-01,5.93
1973-03-01,6.53
1973-04-01,6.51
1973-05-01,6.63
1973-06-01,7.05
1973-07-01,7.97
1973-08-01,8.32
1973-09-01,8.07
1973-10-01,7.17
1973-11-01,7.4
1973-12-01,7.01
1974-01-01,7.01
1974-02-01,6.51
1974-03-01,7.34
1974-04-01,8.08
1974-05-01,8.21
1974-06-01,8.16
1974-07-01,8.04
1974-08-01,8.88
1974-09-01,8.52
1974-10-01,7.59
1974-11-01,7.29
1974-12-01,6.79
1975-01-01,6.27
1975-02-01,5.56
1975-03-01,5.7
1975-04-01,6.4
1975-05-01,5.91
1975-06-01,5.86
1975-07-01,6.64
1975-08-01,7.16
1975-09-01,7.2
1975-10-01,6.48
1975-11-01,6.07
1975-12-01,6.16
1976-01-01,5.44
1976-02-01,5.53
1976-03-01,5.82
1976-04-01,5.54
1976-05-01,5.98
1976-06-01,6.12
1976-07-01,5.82
1976-08-01,5.64
1976-09-01,5.5
1976-10-01,5.19
1976-11-01,5
1976-12-01,4.64
1977-01-01,5
1977-02-01,5.16
1977-03-01,5.19
1977-04-01,5.1
1977-05-01,5.43
1977-06-01,5.41
1977-07-01,5.57
1977-08-01,5.97
1977-09-01,6.13
1977-10-01,6.52
1977-11-01,6.52
1977-12-01,6.52
1978-01-01,6.8
1978-02-01,6.86
1978-03-01,6.82
1978-04-01,6.96
1978-05-01,7.28
1978-06-01,7.53
1978-07-01,7.79
1978-08-01,7.73
1978-09-01,8.01
1978-10-01,8.45
1978-11-01,9.2
1978-12-01,9.44
1979-01-01,9.54
1979-02-01,9.39
1979-03-01,9.38
1979-04-01,9.28
1979-05-01,9.27
1979-06-01,8.81
1979-07-01,8.87
1979-08-01,9.16
1979-09-01,9.89
1979-10-01,11.23
1979-11-01,11.22
1979-12-01,10.92
1980-01-01,10.96
1980-02-01,12.46
1980-03-01,14.03
1980-04-01,11.97
1980-05-01,8.66
1980-06-01,7.54
1980-07-01,8
1980-08-01,9.39
1980-09-01,10.48
1980-10-01,11.3
1980-11-01,12.66
1980-12-01,13.23
1981-01-01,12.62
1981-02-01,12.99
1981-03-01,12.28
1981-04-01,12.79
1981-05-01,14.29
1981-06-01,13.22
1981-07-01,13.91
1981-08-01,14.7
1981-09-01,14.53
1981-10-01,13.62
1981-11-01,11.2
1981-12-01,11.57
1982-01-01,12.77
1982-02-01,13.11
1982-03-01,12.47
1982-04-01,12.5
1982-05-01,11.98
1982-06-01,12.57
1982-07-01,11.9
1982-08-01,10.37
1982-09-01,9.92
1982-10-01,8.63
1982-11-01,8.44
1982-12-01,8.23
1983-01-01,8.01
1983-02-01,8.28
1983-03-01,8.36
1983-04-01,8.29
1983-05-01,8.23
1983-06-01,8.87
1983-07-01,9.34
1983-08-01,9.6
1983-09-01,9.27
1983-10-01,8.98
1983-11-01,9.08
1983-12-01,9.24
1984-01-01,9.07
1984-02-01,9.2
1984-03-01,9.67
1984-04-01,9.95
1984-05-01,10.57
1984-06-01,10.93
1984-07-01,10.89
1984-08-01,10.71
1984-09-01,10.51
1984-10-01,9.93
1984-11-01,9.01
1984-12-01,8.6
1985-01-01,8.33
1985-02-01,8.56
1985-03-01,9.06
1985-04-01,8.44
1985-05-01,7.85
1985-06-01,7.27
1985-07-01,7.31
1985-08-01,7.48
1985-09-01,7.5
1985-10-01,7.45
1985-11-01,7.33
1985-12-01,7.16
1986-01-01,7.21
1986-02-01,7.11
1986-03-01,6.59
1986-04-01,6.06
1986-05-01,6.25
1986-06-01,6.32
1986-07-01,5.9
1986-08-01,5.6
1986-09-01,5.45
1986-10-01,5.41
1986-11-01,5.48
1986-12-01,5.55
1987-01-01,5.46
1987-02-01,5.63
1987-03-01,5.68
1987-04-01,6.09
1987-05-01,6.52
1987-06-01,6.35
1987-07-01,6.24
1987-08-01,6.54
1987-09-01,7.11
1987-10-01,7.05
1987-11-01,6.5
1987-12-01,6.69
1988-01-01,6.52
1988-02-01,6.21
1988-03-01,6.28
1988-04-01,6.56
1988-05-01,6.9
1988-06-01,6.99
1988-07-01,7.22
1988-08-01,7.59
1988-09-01,7.53
1988-10-01,7.54
1988-11-01,7.87
1988-12-01,8.32
1989-01-01,8.37
1989-02-01,8.55
1989-03-01,8.82
1989-04-01,8.64
1989-05-01,8.31
1989-06-01,7.84
1989-07-01,7.36
1989-08-01,7.61
1989-09-01,7.65
1989-10-01,7.45
1989-11-01,7.25
1989-12-01,7.21
1990-01-01,7.38
1990-02-01,7.55
1990-03-01,7.76
1990-04-01,7.8
1990-05-01,7.73
1990-06-01,7.53
1990-07-01,7.4
1990-08-01,7.26
1990-09-01,7.24
1990-10-01,7.06
1990-11-01,6.85
1990-12-01,6.61
1991-01-01,6.25
1991-02-01,5.91
1991-03-01,6
1991-04-01,5.85
1991-05-01,5.76
1991-06-01,5.96
1991-07-01,5.91
1991-08-01,5.45
1991-09-01,5.26
1991-10-01,5.04
1991-11-01,4.64
1991-12-01,4.17
1992-01-01,3.95
1992-02-01,4.08
1992-03-01,4.4
1992-04-01,4.09
1992-05-01,3.99
1992-06-01,3.98
1992-07-01,3.45
1992-08-01,3.33
1992-09-01,3.06
1992-10-01,3.17
1992-11-01,3.52
1992-12-01,3.55
1993-01-01,3.35
1993-02-01,3.25
1993-03-01,3.2
1993-04-01,3.11
1993-05-01,3.23
1993-06-01,3.39
1993-07-01,3.33
1993-08-01,3.3
1993-09-01,3.22
1993-10-01,3.25
1993-11-01,3.42
1993-12-01,3.45
1994-01-01,3.39
1994-02-01,3.69
1994-03-01,4.11
1994-04-01,4.57
1994-05-01,5.03
1994-06-01,4.98
1994-07-01,5.17
1994-08-01,5.25
1994-09-01,5.43
1994-10-01,5.75
1994-11-01,6.13
1994-12-01,6.67
1995-01-01,6.59
1995-02-01,6.28
1995-03-01,6.03
1995-04-01,5.88
1995-05-01,5.65
1995-06-01,5.33
1995-07-01,5.28
1995-08-01,5.43
1995-09-01,5.31
1995-10-01,5.28
1995-11-01,5.14
1995-12-01,5.03
1996-01-01,4.82
1996-02-01,4.69
1996-03-01,5.06
1996-04-01,5.23
1996-05-01,5.33
1996-06-01,5.48
1996-07-01,5.52
1996-08-01,5.35
1996-09-01,5.5
1996-10-01,5.25
1996-11-01,5.14
1996-12-01,5.18
1997-01-01,5.3
1997-02-01,5.23
1997-03-01,5.47
1997-04-01,5.64
1997-05-01,5.54
1997-06-01,5.38
1997-07-01,5.24
1997-08-01,5.27
1997-09-01,5.23
1997-10-01,5.17
1997-11-01,5.17
1997-12-01,5.24
1998-01-01,4.98
1998-02-01,5.04
1998-03-01,5.11
1998-04-01,5.1
1998-05-01,5.16
1998-06-01,5.13
1998-07-01,5.08
1998-08-01,4.94
1998-09-01,4.5
1998-10-01,3.95
1998-11-01,4.33
1998-12-01,4.32
1999-01-01,4.31
1999-02-01,4.48
1999-03-01,4.53
1999-04-01,4.45
1999-05-01,4.6
1999-06-01,4.82
1999-07-01,4.75
1999-08-01,4.91
1999-09-01,4.96
1999-10-01,5.12
1999-11-01,5.24
1999-12-01,5.51
2000-01-01,5.75
2000-02-01,5.84
2000-03-01,5.86
2000-04-01,5.8
2000-05-01,5.94
2000-06-01,5.83
2000-07-01,5.75
2000-08-01,5.87
2000-09-01,5.79
2000-10-01,5.72
2000-11-01,5.84
2000-12-01,5.33
2001-01-01,4.63
2001-02-01,4.51
2001-03-01,4.11
2001-04-01,3.8
2001-05-01,3.6
2001-06-01,3.37
2001-07-01,3.39
